question,answer_expected,ground_truth,doc_file,department
Thời gian công bố danh sách HVSV đủ điều kiện dự thi kết thúc học phần?,"Danh sách HVSV đủ điều kiện dự thi và danh sách phân chia ca thi, phòng thi được Đơn vị khảo thí tổng hợp và công bố chậm nhất 01 ngày làm việc trước ngày thi.","1. Chậm nhất 02 ngày trước ngày thi, Đơn vị quản lý HVSV tổng hợp và gửi về Đơn vị khảo thí danh sách HVSV đủ điều kiện dự thi trong số HVSV có đơn dự thi theo quy định tại điểm e khoản 2 Điều 7.
2. Chậm nhất 01 ngày làm việc trước ngày thi, Đơn vị khảo thí tổng hợp, công bố danh sách HVSV đủ điều kiện dự thi và danh sách phân chia ca thi, phòng thi.",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
"Sau khi hết giờ làm bài thi, cán bộ coi thi có trách nhiệm gì?","Khi hết giờ làm bài, CBCT phải yêu cầu thí sinh ngừng làm bài và thu bài
của tất cả thí sinh, kể cả thí sinh đã bị thi hành kỷ luật. CBCT thứ hai duy trì trật
tự và kỷ luật phòng thi. CBCT thứ nhất vừa gọi tên từng thí sinh lên nộp bài, vừa
nhận bài thi của thí sinh. Khi CBCT nhận bài phải kiểm tra thông tin thí sinh được
điền đầy đủ trên tờ giấy thi, đếm đủ số tờ giấy thi của thí sinh đã nộp, yêu cầu thí
sinh tự ghi đúng số tờ và ký tên vào bản danh sách thí sinh dự thi. Các bài thi cần
được sắp xếp theo thứ tự tăng dần của số báo danh. Khi thu xong toàn bộ bài thi
mới cho phép các thí sinh rời phòng thi.
Ngay sau ca thi, các CBCT bàn giao cho cán bộ Đơn vị khảo thí: bản danh
sách thí sinh dự thi; bài thi của thí sinh sắp xếp theo thứ tự tăng dần của số báo
danh; đề thi (nếu có yêu cầu thu lại đề); các giấy cam đoan (nếu có); các biên bản
xử lý kỷ luật (nếu có); các biên bản bất thường (nếu có); giấy thi, giấy nháp và các
văn phòng phẩm còn dư.","1. Mỗi phòng thi được bố trí 02 CBCT nếu không quá 60 thí sinh, 03 CBCT nếu nhiều hơn 60 thí sinh.
2. Các CBCT thực thi các trách nhiệm chung đối với CBCT được quy định tại khoản 3 Điều 14 và trách nhiệm khác được quy định tại Điều này.
3. Các CBCT phải công bố sơ đồ chỗ ngồi theo số báo danh, hướng dẫn thí sinh ngồi đúng vị trí.
4. Thí sinh không được phép rời khỏi phòng thi khi chưa hết 2/3 thời gian làm bài. Sau 2/3 thời gian làm bài, nếu thí sinh có nhu cầu, CBCT cho phép thí sinh ra ngoài, mỗi lần không quá 01 thí sinh; nếu thí sinh đã hoàn thành bài thi thì cho phép thí sinh nộp bài thi, ký vào phiếu thu bài thi, nộp lại đề thi, giấy nháp và ra về. Thí sinh không được phép nộp bài trong khoảng thời gian 5 phút trước khi hết giờ làm bài.
5. Khi hết giờ làm bài, CBCT phải yêu cầu thí sinh ngừng làm bài và thu bài của tất cả thí sinh, kể cả thí sinh đã bị thi hành kỷ luật. CBCT thứ hai duy trì trật tự và kỷ luật phòng thi. CBCT thứ nhất vừa gọi tên từng thí sinh lên nộp bài, vừa nhận bài thi của thí sinh. Khi CBCT nhận bài phải kiểm tra thông tin thí sinh được điền đầy đủ trên tờ giấy thi, đếm đủ số tờ giấy thi của thí sinh đã nộp, yêu cầu thí sinh tự ghi đúng số tờ và ký tên vào bản danh sách thí sinh dự thi. Các bài thi cần được sắp xếp theo thứ tự tăng dần của số báo danh. Khi thu xong toàn bộ bài thi mới cho phép các thí sinh rời phòng thi.
6. Ngay sau ca thi, các CBCT bàn giao cho cán bộ Đơn vị khảo thí: bản danh sách thí sinh dự thi; bài thi của thí sinh sắp xếp theo thứ tự tăng dần của số báo danh; đề thi (nếu có yêu cầu thu lại đề); các giấy cam đoan (nếu có); các biên bản xử lý kỷ luật (nếu có); các biên bản bất thường (nếu có); giấy thi, giấy nháp và các văn phòng phẩm còn dư.

1. Mỗi phòng thi được bố trí 02 CBCT nếu không quá 60 thí sinh, 03 CBCT nếu nhiều hơn 60 thí sinh.
2. Các CBCT thực thi các trách nhiệm chung đối với CBCT được quy định tại khoản 3 Điều 14 và trách nhiệm khác được quy định tại Điều này.
3. CBCT gọi thí sinh vào phòng thi, cho thí...",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Bài thi viết phải chấm như thế nào?,"1. Bài thi viết phải được làm phách trước khi bàn giao cho các CBChT.
2. Bài thi viết phải được chấm bởi 02 CBChT.
3. Việc chấm thi các bài thi viết được thực hiện tập trung tại phòng chấm thi.
4. Sau khi hoàn tất việc chấm thi, các CBChT phối hợp với cán bộ Đơn vị
khảo thí tiến hành nhập điểm và lập Biên bản chấm thi (nếu có).
5. Trong quá trình làm phách, chấm thi, nếu phát hiện các vi phạm chưa được
xử lý thì các cán bộ phát hiện vi phạm lập thành biên bản, bàn giao cho Đơn vị
khảo thí để xử lý theo quy định.
10
6. Việc làm phách phải được hoàn thành chậm nhất 04 ngày làm việc sau
ngày thi. Việc chấm thi, nhập điểm thi phải được hoàn thành chậm nhất 14 ngày
làm việc sau ngày thi.
Chấm kiểm tra bài thi viết
1. Chấm kiểm tra bài thi viết được thực hiện khi có yêu cầu của Đoàn Thanh
tra, Tổ Thanh tra hoặc Giám đốc Học viện.
2. Khi có yêu cầu chấm kiểm tra, Đơn vị khảo thí lập kế hoạch chấm kiểm tra
tối đa 10% số bài thi viết mỗi kỳ thi trình Giám đốc Học viện phê duyệt. Các cán
bộ đã tham gia chấm thi học phần nào thì không được tham gia chấm kiểm tra học
phần đó.
3. Việc lựa chọn bài thi để chấm kiểm tra được thực hiện ngẫu nhiên.
4. Việc chấm kiểm tra do 01 CBChT thực hiện. Nếu phát hiện có dấu hiệu vi
phạm thì báo cáo Tổ trưởng Tổ chấm kiểm tra để thảo luận, xác nhận sự vi phạm.
5. Sau khi hoàn thành việc chấm kiểm tra, kết quả và kiến nghị biện pháp xử
lý các trường hợp vi phạm được phát hiện phải được báo ngay cho Giám đốc Học viện.","1. Bài thi viết phải được làm phách trước khi bàn giao cho các CBChT.
2. Bài thi viết phải được chấm bởi 02 CBChT.
3. Việc chấm thi các bài thi viết được thực hiện tập trung tại phòng chấm thi.
4. Sau khi hoàn tất việc chấm thi, các CBChT phối hợp với cán bộ Đơn vị khảo thí tiến hành nhập điểm và lập Biên bản chấm thi (nếu có).
5. Trong quá trình làm phách, chấm thi, nếu phát hiện các vi phạm chưa được xử lý thì các cán bộ phát hiện vi phạm lập thành biên bản, bàn giao cho Đơn vị khảo thí để xử lý theo quy định.

6. Việc làm phách phải được hoàn thành chậm nhất 04 ngày làm việc sau ngày thi. Việc chấm thi, nhập điểm thi phải được hoàn thành chậm nhất 14 ngày làm việc sau ngày thi.

- b) HVSV đủ điều kiện tham dự kỳ thi nhưng vắng thi không có lý do chính đáng (theo quy định tại khoản 3 Điều này), hoặc không được tham dự kỳ thi vì không đáp ứng điều kiện quy định tại điểm a khoản 1 Điều này hoặc vì lý do đến muộn thì coi như đã tham dự kỳ thi đó và phải nhận điểm 0.
- c) HVSV tham dự kỳ thi chính có kết quả không đạt phải đóng lệ phí thi lại và tham dự kỳ thi phụ ngay sau đó.
- d) HVSV đủ điều kiện tham dự kỳ thi chính nhưng vắng thi có lý do chính đáng (theo quy định tại khoản 3 Điều này) thì phải tham gia kỳ thi phụ ngay sau đó, không cần đóng lệ phí thi lại, kết quả thi được tính là thi lần 1.
4. đ) HVSV đủ điều kiện tham dự kỳ thi phụ nhưng vắng thi có lý do chính đáng (theo quy định tại khoản 3 Điều này), hoặc HVSV có kết quả không đạt ở kỳ thi phụ nhưng chưa sử dụng hết 2 lượt thi thì có thể tham gia thi trả nợ trong các kỳ thi được tổ chức cho các khóa học sau. Trong trường hợp này, HVSV cần làm Đơn dự thi, nộp về cho Đơn vị quản lý HVSV chậm nhất 10 ngày làm việc trước ngày thi.
- e) HVSV bị xử lý kỷ luật ở mức ""Đình chỉ thi"" theo khoản 3 Điều 48 thì coi như đã sử dụng hết tất cả các lượt thi.
3. Điều kiện và thủ tục hoãn thi
- a) Điều kiện hoãn thi: HVSV được coi là hoãn thi có lý do chính đáng nếu thuộc một trong các trường hợp
- Đang điều trị nội trú ở cơ ...",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Điểm thi tốt nghiệp bao nhiêu thì đạt?,"Điểm thi tốt nghiệp được coi là đạt nếu lớn hơn hoặc bằng 5,0 theo thang
điểm 10 (không bao gồm điểm thưởng, điểm khuyến khích nếu có).","1. Việc làm đồ án tốt nghiệp, đánh giá đồ án tốt nghiệp thực hiện theo quy định tại các Điều 23 và 25 Quy chế 1194.
2. Môn thi tốt nghiệp
- a) HVSV thi tốt nghiệp phải học bổ sung một số học phần với tổng số tín chỉ tương đương số tín chỉ quy định cho đồ án tốt nghiệp.
- b) Các môn thi tốt nghiệp tương ứng với các học phần bổ sung, được đánh giá độc lập.
- c) Điểm thi tốt nghiệp được coi là đạt nếu lớn hơn hoặc bằng 5,0 theo thang điểm 10 (không bao gồm điểm thưởng, điểm khuyến khích nếu có).
- d) Điều kiện dự thi tốt nghiệp đối với từng môn thi thực hiện theo đề cương

1. Đối tượng thực hiện luận văn, đề án tốt nghiệp thạc sĩ; việc tổ chức thực hiện, đánh giá kết quả thực hiện luận văn, đề án tốt nghiệp thạc sĩ thực hiện theo Điều 19, 20 Quy chế 407.
2. Kết quả thực hiện luận văn, đề án tốt nghiệp thạc sĩ được coi là đạt nếu điểm trung bình lớn hơn hoặc bằng 5,5, trong đó không có điểm thành phần nào dưới 5,0 theo thang điểm 10 (không bao gồm điểm thưởng, điểm khuyến khích nếu có).",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Khi trượt thi tốt nghiệp 2 lượt thì sao?,"HVSV có kết quả không đạt một số môn tốt nghiệp sau hai lượt thi sẽ phải
học lại các học phần bổ sung tương ứng và thi lại ở kỳ thi kế tiếp, phải đóng học
phí theo quy định.","3. Tổ chức thi tốt nghiệp
- a) Mỗi năm Học viện tổ chức 01 kỳ thi tốt nghiệp (nếu có) với tối đa 02 lượt thi cho mỗi chương trình đào tạo.
- b) HVSV có kết quả không đạt một số môn sau lượt thi thứ nhất được đăng ký thi lại các môn chưa đạt đó ở lượt thi thứ hai, phải đóng lệ phí thi lần hai theo quy định đối với thi kết thúc học phần.
- c) HVSV có kết quả không đạt một số môn tốt nghiệp sau hai lượt thi sẽ phải học lại các học phần bổ sung tương ứng và thi lại ở kỳ thi kế tiếp, phải đóng học phí theo quy định.

1. Nắm được kế hoạch thi của Học viện để chuẩn bị cho kỳ thi.
2. Đóng đủ học phí, lệ phí theo quy định trước kỳ thi.
3. Nắm được danh sách HVSV đủ điều kiện dự thi, danh sách phân chia ca thi, phòng thi. Nếu thấy có sai sót thì liên hệ Đơn vị khảo thí chậm nhất 01 ngày trước ngày thi để được giải quyết.
4. Có mặt tại phòng thi đúng thời gian quy định với trang phục lịch sự để dự thi. Thí sinh đến muộn so với thời gian bắt đầu làm bài thi trên máy hoặc đến muộn quá 15 phút sau thời gian phát đề đối với hình thức thi khác sẽ không được dự thi.
5. Khi vào phòng thi phải xuất trình thẻ HVSV để CBCT kiểm tra. Nếu không thể xuất trình thẻ HVSV thì phải có xác nhận của Đơn vị quản lý HVSV.
6. Khi vào phòng thi chỉ được mang bút viết, bút chì, compa, tẩy, thước kẻ, máy tính điện tử không có thẻ nhớ và không có chức năng soạn thảo văn bản. Các vật dụng khác chỉ được sử dụng khi CBCT cho phép theo yêu cầu của đề thi.
7. Chỉ được phép sử dụng giấy thi, giấy nháp cho CBCT cung cấp và phải điền đầy đủ thông tin vào tờ giấy thi, giấy nháp; tự bảo quản tờ giấy thi, giấy nháp của mình.
8. Trong phòng thi phải giữ trật tự và nghiêm túc làm bài; không được viết, vẽ các nội dung không liên quan đến nội dung thi lên tờ giấy thi, giấy nháp; không được có bất kỳ hành vi gian lận nào; không hút thuốc trong phòng thi. Chấp hành sự quản lý, giám sát, kiểm tra và tuân thủ chỉ dẫn của các CBCT. Nếu cần hỏi CBCT điều gì thì phải hỏi công khai. Trường hợp ốm đau, bất thường thì báo cáo ...",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Điều kiện để luận văn thạc sĩ đạt?,"Kết quả thực hiện luận văn, đề án tốt nghiệp thạc sĩ được coi là đạt nếu
điểm trung bình lớn hơn hoặc bằng 5,5, trong đó không có điểm thành phần nào
dưới 5,0 theo thang điểm 10 (không bao gồm điểm thưởng, điểm khuyến khích
nếu có).","1. Đối tượng thực hiện luận văn, đề án tốt nghiệp thạc sĩ; việc tổ chức thực hiện, đánh giá kết quả thực hiện luận văn, đề án tốt nghiệp thạc sĩ thực hiện theo Điều 19, 20 Quy chế 407.
2. Kết quả thực hiện luận văn, đề án tốt nghiệp thạc sĩ được coi là đạt nếu điểm trung bình lớn hơn hoặc bằng 5,5, trong đó không có điểm thành phần nào dưới 5,0 theo thang điểm 10 (không bao gồm điểm thưởng, điểm khuyến khích nếu có).",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
"Những trường hợp nào chấm đồ án, đề án, luận văn tốt nghiệp trực tuyến","Trong trường hợp thiên tai, dịch bệnh hoặc các trường hợp bất khả kháng
khác, Giám đốc Học viện có thể quyết định tổ chức chấm đồ án, đề án, luận văn
tốt nghiệp trực tuyến.","1. Trong trường hợp thiên tai, dịch bệnh hoặc các trường hợp bất khả kháng khác, Giám đốc Học viện có thể quyết định tổ chức chấm đồ án, đề án, luận văn tốt nghiệp trực tuyến.
2. Việc chấm trực tuyến phải nhận được sự đồng thuận của HVSV và các thành viên hội đồng chấm.
3. Diễn biến buổi chấm trực tuyến phải được ghi hình, ghi âm và lưu trữ trong thời hạn lưu trữ cuốn đồ án, đề án, luận văn.
4. Hội đồng tổ chức chấm đồ án, đề án, luận văn căn cứ tình hình cụ thể để
5. hướng dẫn nghiệp vụ cho các bên liên quan trong quá trình chấm trực tuyến.

## Điều 40. Chấm đồ án, đề án, luận văn tốt nghiệp trực tuyến",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Sinh viên đạt giải nghiên cứu khoa học có được cộng điểm vào đồ án tốt nghiệp không?,"1. Cộng tối đa 2 điểm vào kết quả mỗi môn thi tốt nghiệp, làm đồ án tốt
được triệu tập tham gia huấn luyện để chọn đại diện hoặc đội tuyển của Học viện
tham dự cuộc thi cấp quốc gia trở lên về lĩnh vực phù hợp với chuyên ngành đào
tạo và đạt từ giải Ba cấp quốc gia trở lên.
15
2. Cộng điểm vào kết quả thi tốt nghiệp, làm đồ án tốt nghiệp đối với HVSV
có các công trình nghiên cứu khoa học, công nghệ phù hợp với chuyên ngành đào tạo
a) Cộng tối đa 2 điểm nếu công trình được công bố trên các tạp chí thuộc các
Danh mục tạp chí có uy tín do Quỹ Phát triển khoa học và công nghệ Quốc gia
(NAFOSTED) ban hành; cộng tối đa 1 điểm nếu công trình được công bố trên các
ấn phẩm khoa học có phản biện khác.
b) Cộng tối đa 2 điểm nếu sản phẩm nghiên cứu đạt giải trong cuộc thi cấp
quốc gia trở lên.
c) Cộng tối đa 1 điểm nếu sản phẩm nghiên cứu đạt Giải Ba trở lên trong
cuộc thi cấp Học viện.
3. Điểm số được quy định tại các khoản 1 và 2 Điều này tính theo thang điểm
10; mức ưu tiên cụ thể do hội đồng chấm đồ án tốt nghiệp, hội đồng chấm thi tốt
nghiệp quyết định.","1. Cộng tối đa 2 điểm vào kết quả mỗi môn thi tốt nghiệp, làm đồ án tốt nghiệp đối với HVSV là đại diện hoặc thành viên đội tuyển của Học viện, hoặc được triệu tập tham gia huấn luyện để chọn đại diện hoặc đội tuyển của Học viện tham dự cuộc thi cấp quốc gia trở lên về lĩnh vực phù hợp với chuyên ngành đào tạo và đạt từ giải Ba cấp quốc gia trở lên.

2. Cộng điểm vào kết quả thi tốt nghiệp, làm đồ án tốt nghiệp đối với HVSV có các công trình nghiên cứu khoa học, công nghệ phù hợp với chuyên ngành đào tạo
- a) Cộng tối đa 2 điểm nếu công trình được công bố trên các tạp chí thuộc các Danh mục tạp chí có uy tín do Quỹ Phát triển khoa học và công nghệ Quốc gia (NAFOSTED) ban hành; cộng tối đa 1 điểm nếu công trình được công bố trên các ấn phẩm khoa học có phản biện khác.
- b) Cộng tối đa 2 điểm nếu sản phẩm nghiên cứu đạt giải trong cuộc thi cấp quốc gia trở lên.
- c) Cộng tối đa 1 điểm nếu sản phẩm nghiên cứu đạt Giải Ba trở lên trong cuộc thi cấp Học viện.
3. Điểm số được quy định tại các khoản 1 và 2 Điều này tính theo thang điểm 10; mức ưu tiên cụ thể do hội đồng chấm đồ án tốt nghiệp, hội đồng chấm thi tốt nghiệp quyết định.",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Mức xử lý “khiển trách” trừ bao nhiêu điểm?,"Mức xử lý ""khiển trách"" trừ 25% số điểm bài thi.",## Điều 31. Xử lý chênh lệch điểm trong chấm thi,00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Những hành vi nào bị đình chỉ thi?,"Đình chỉ thi: thí sinh bị đình chỉ thi đối với bài thi nào thì bài thi đó bị cho
điểm 0. Áp dụng đối với thí sinh phạm một trong các lỗi sau đây:
a) Đã bị cảnh cáo nhưng vẫn tiếp tục phạm lỗi ở mức khiển trách hoặc cảnh cáo.
b) Mang vào phòng thi các tài liệu, phương tiện kỹ thuật thu, phát, truyền tải,
ghi âm, ghi hình, thiết bị chứa thông tin có thể lợi dụng để làm bài thi; vũ khí, chất
gây nổ, gây cháy, các vật dụng nguy hại khác.
c) Đưa đề thi ra ngoài hoặc nhận bài giải từ ngoài vào phòng thi.
d) Sử dụng đồ uống có cồn, có hành động gây gỗ, đe dọa các cán bộ có trách
nhiệm trong phòng thi hoặc thí sinh khác.
đ) Viết, vẽ những nội dung không liên quan đên bài thi trên giấy thi.
e) Sử dụng những phần mềm, trang thiết bị không được phép hoặc thực hiện
các hành vi tấn công, hành vi khác gây cản trở hoạt động của hệ thống thi khi làm
bài thi trên máy.
g) Rời khỏi vị trí làm bài ra ngoài tầm quan sát của CBCT, CBCT-ChT trong
ca thi trực tuyến.","- b) Trao đổi bài làm, giấy nháp với thí sinh khác, cho thí sinh khác chép bài (Những bài thi đã có kết luận là giống nhau thì xử lý như nhau).
3. Đình chỉ thi: thí sinh bị đình chỉ thi đối với bài thi nào thì bài thi đó bị cho điểm 0. Áp dụng đối với thí sinh phạm một trong các lỗi sau đây:
- a) Đã bị cảnh cáo nhưng vẫn tiếp tục phạm lỗi ở mức khiển trách hoặc cảnh cáo.
- b) Mang vào phòng thi các tài liệu, phương tiện kỹ thuật thu, phát, truyền tải, ghi âm, ghi hình, thiết bị chứa thông tin có thể lợi dụng để làm bài thi; vũ khí, chất gây nổ, gây cháy, các vật dụng nguy hại khác.
- c) Đưa đề thi ra ngoài hoặc nhận bài giải từ ngoài vào phòng thi.
- d) Sử dụng đồ uống có cồn, có hành động gây gỗ, đe dọa các cán bộ có trách nhiệm trong phòng thi hoặc thí sinh khác.
7. đ) Viết, vẽ những nội dung không liên quan đên bài thi trên giấy thi.
- e) Sử dụng những phần mềm, trang thiết bị không được phép hoặc thực hiện các hành vi tấn công, hành vi khác gây cản trở hoạt động của hệ thống thi khi làm bài thi trên máy.
- g) Rời khỏi vị trí làm bài ra ngoài tầm quan sát của CBCT, CBCT-ChT trong ca thi trực tuyến.
4. Đình chỉ học tập hoặc buộc thôi học đối với những thí sinh có vi phạm sau: thi hộ và nhờ thi hộ dưới mọi hình thức; tổ chức lấy đề thi và đưa bài giải vào cho thí sinh trong phòng thi; gây rối làm mất trật tự trong phòng thi.
5. Đề nghị các cơ quan có thẩm quyền xử lý đối với thí sinh: có hành động phá hoại kỳ thi; hành hung cán bộ có trách nhiệm trong phòng thi hoặc thí sinh khác; có các vi phạm nghiêm trọng khác trong kỳ thi.
6. Việc xử lý kỷ thuật thí sinh vi phạm theo quy định tại các khoản 1, 2 và 3 do các CBCT, CBCT-ChT thống nhất thực hiện, lập thành biên bản kèm theo tang vật (nếu có).

1. Nắm được kế hoạch thi của Học viện để chuẩn bị cho kỳ thi.
2. Đóng đủ học phí, lệ phí theo quy định trước kỳ thi.
3. Nắm được danh sách HVSV đủ điều kiện dự thi, danh sách phân chia ca thi, phòng thi. Nếu thấy có sai sót thì liên hệ Đơn vị khảo thí chậm nhất 01 ngày trước ...",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Hành vi nào có thể bị buộc thôi học?,"Đình chỉ học tập hoặc buộc thôi học đối với những thí sinh có vi phạm
sau: thi hộ và nhờ thi hộ dưới mọi hình thức; tổ chức lấy đề thi và đưa bài giải vào
cho thí sinh trong phòng thi; gây rối làm mất trật tự trong phòng thi.","- b) Trao đổi bài làm, giấy nháp với thí sinh khác, cho thí sinh khác chép bài (Những bài thi đã có kết luận là giống nhau thì xử lý như nhau).
3. Đình chỉ thi: thí sinh bị đình chỉ thi đối với bài thi nào thì bài thi đó bị cho điểm 0. Áp dụng đối với thí sinh phạm một trong các lỗi sau đây:
- a) Đã bị cảnh cáo nhưng vẫn tiếp tục phạm lỗi ở mức khiển trách hoặc cảnh cáo.
- b) Mang vào phòng thi các tài liệu, phương tiện kỹ thuật thu, phát, truyền tải, ghi âm, ghi hình, thiết bị chứa thông tin có thể lợi dụng để làm bài thi; vũ khí, chất gây nổ, gây cháy, các vật dụng nguy hại khác.
- c) Đưa đề thi ra ngoài hoặc nhận bài giải từ ngoài vào phòng thi.
- d) Sử dụng đồ uống có cồn, có hành động gây gỗ, đe dọa các cán bộ có trách nhiệm trong phòng thi hoặc thí sinh khác.
7. đ) Viết, vẽ những nội dung không liên quan đên bài thi trên giấy thi.
- e) Sử dụng những phần mềm, trang thiết bị không được phép hoặc thực hiện các hành vi tấn công, hành vi khác gây cản trở hoạt động của hệ thống thi khi làm bài thi trên máy.
- g) Rời khỏi vị trí làm bài ra ngoài tầm quan sát của CBCT, CBCT-ChT trong ca thi trực tuyến.
4. Đình chỉ học tập hoặc buộc thôi học đối với những thí sinh có vi phạm sau: thi hộ và nhờ thi hộ dưới mọi hình thức; tổ chức lấy đề thi và đưa bài giải vào cho thí sinh trong phòng thi; gây rối làm mất trật tự trong phòng thi.
5. Đề nghị các cơ quan có thẩm quyền xử lý đối với thí sinh: có hành động phá hoại kỳ thi; hành hung cán bộ có trách nhiệm trong phòng thi hoặc thí sinh khác; có các vi phạm nghiêm trọng khác trong kỳ thi.
6. Việc xử lý kỷ thuật thí sinh vi phạm theo quy định tại các khoản 1, 2 và 3 do các CBCT, CBCT-ChT thống nhất thực hiện, lập thành biên bản kèm theo tang vật (nếu có).",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Mức “cảnh cáo” trừ bao nhiêu điểm?,"Mức xử lý ""cảnh cáo"" trừ 50% số điểm bài thi.",## Điều 31. Xử lý chênh lệch điểm trong chấm thi,00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Thư viện có trách nhiệm lưu trữ gì?,Thư viện có trách nhiệm lưu trữ đồ án và luận văn tốt nghiệp.,"- Các tài liệu kỳ thi tốt nghiệp, bao gồm: kế hoạch thi, các quyết định thành lập và biên bản làm việc của các ban của kỳ thi, đề thi, danh sách HVSV bài thi, bảng điểm thi, đơn phúc khảo, bảng kết quả chấm phúc khảo.
- b) Đơn vị quản lý HVSV có trách nhiệm lưu trữ các tài liệu kỳ thi kết thúc học phần, bao gồm: đơn vắng thi, đơn phúc khảo, đơn dự thi, bảng điểm thi, bảng kết quả chấm phúc khảo.
- c) Đơn vị quản lý đào tạo có trách nhiệm lưu trữ:
- Các tài liệu liên quan đến đồ án tốt nghiệp đại học, bao gồm: quyết định giao đồ án, quyết định thành lập hội đồng chấm đồ án, biên bản làm việc của hội đồng chấm đồ án, bảng kết quả chấm đồ án.
- Các tài liệu tổng hợp: bảng điểm chính thức, biên bản điều chỉnh điểm.
- d) Đơn vị quản lý đào tạo sau đại học có trách nhiệm lưu trữ:
- Các tài liệu liên quan đến luận văn thạc sĩ, bao gồm: quyết định giao luận văn, quyết định thành lập hội đồng chấm luận văn, biên bản làm việc của hội đồng chấm luận văn, bảng kết quả chấm luận văn.
- Các tài liệu tổng hợp: bảng điểm chính thức, biên bản điều chỉnh điểm.
- đ) Thư viện có trách nhiệm lưu trữ đồ án và luận văn tốt nghiệp.",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Đơn vị khảo thí chịu trách nhiệm gì?,"a) Chủ trì tổ chức thi kết thúc học phần.
b) Chủ trì tổ chức xây dựng, trình Giám đốc Học viện ban hành các biểu mẫu,
quy trình nghiệp vụ khảo thí.","1. Giám đốc Học viện chịu trách nhiệm chỉ đạo thống nhất và toàn diện công tác khảo thí tất cả các bậc, hệ, chương trình đào tạo toàn Học viện; thành lập các ban, hội đồng để tổ chức các kỳ thi, đồ án, luận văn, đề án.
2. Đơn vị khảo thí chịu trách nhiệm
- a) Chủ trì tổ chức thi kết thúc học phần.
- b) Chủ trì tổ chức xây dựng, trình Giám đốc Học viện ban hành các biểu mẫu, quy trình nghiệp vụ khảo thí.
3. Đơn vị quản lý đào tạo chịu trách nhiệm
- a) Chủ trì tổ chức công tác đồ án tốt nghiệp.
- b) Quản lý điểm của HVSV bậc đào tạo đại học.
4. Đơn vị quản lý đào tạo sau đại học chịu trách nhiệm
- a) Chủ trì tổ chức công tác luận văn, luận án.
- b) Quản lý điểm của học viên các bậc đào tạo sau đại học.
5. Đơn vị tài chính chịu trách nhiệm: giải quyết các vấn đề liên quan đến học phí, lệ phí để kiểm tra điều kiện dự thi của HVSV.
6. Đơn vị quản lý HVSV chịu trách nhiệm
- a) Phối hợp với Đơn vị tài chính trong việc thống kê, kiểm tra dữ liệu về tình hình HVSV còn nợ học phí, lệ phí và chịu trách nhiệm về tính chính xác đối với",00.Quy định về công tác khảo thí 2025 (1).md,phongkhaothi
Minh chứng đóng vai trò gì trong kiểm định?,"Minh chứng là yếu tố quan trọng hàng đầu phục vụ cho việc đánh giá, 
kiểm định chất lượng giáo dục.","1. Minh chứng là yếu tố quan trọng hàng đầu phục vụ cho việc đánh giá, kiểm định chất lượng giáo dục. Mỗi tổ chức cần lưu lại minh chứng về các mặt hoạt động của mình để bên thứ ba có thể đánh giá về chất lượng của các mặt hoạt động đó.
2. Minh chứng không chỉ thể hiện kết quả hoạt động mà còn phải thể hiện được cả quá trình hoạt động.
3. Minh chứng phát sinh ở tổ chức nào thì tổ chức đó có trách nhiệm lưu giữ bản gốc minh chứng; trường hợp bản gốc minh chứng cần được chuyển giao cho đơn vị khác thì trách nhiệm lưu giữ thuộc về đơn vị tiếp nhận. Thời hạn lưu giữ minh chứng tối thiểu 5 năm (một chu kỳ kiểm định chất lượng) kể từ thời điểm phát sinh minh chứng.
4. Để có thể phát sinh, lưu giữ minh chứng một cách hiệu quả, các tổ chức cần lưu ý một số điểm như sau:
5. 4.1. Phân công rõ trách nhiệm lưu giữ minh chứng, bao gồm minh chứng dạng văn bản giấy và minh chứng dạng văn bản số.
6. 4.2. Đảm bảo phương tiện (túi/cặp tài liệu, phương tiện lưu trữ điện tử...) để lưu giữ minh chứng.
7. 4.3. Khi tổ chức thực hiện nhiệm vụ:
8. -Phân công ghi và lưu biên bản các cuộc họp;
9. -Xin ý kiến, lưu giữ văn bản góp ý, văn bản giải trình đối với các góp ý;
10. -Lấy ý kiến phản hồi của các bên liên quan sau khi kết thúc nhiệm vụ;
11. -Đăng bài viết lên website của Học viện, trang mạng xã hội... (và có lưu lại địa chỉ truy cập để làm minh chứng);
12. -Báo cáo tổng kết, rút kinh nghiệm.",02. Hoạt động đảm bảo chất lượng giáo dục tại HVKTMM.md,thongtinhvktmm
